"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CPI","TOT","AGRWTH","M","1999-09",3.889684,
"OECD","CPI","TOT","AGRWTH","M","1999-10",3.79654,
"OECD","CPI","TOT","AGRWTH","M","1999-11",3.777679,
"OECD","CPI","TOT","AGRWTH","M","1999-12",3.912647,
"OECD","CPI","TOT","AGRWTH","M","2000-01",3.95508,
"OECD","CPI","TOT","AGRWTH","M","2000-02",4.204381,
"OECD","CPI","TOT","AGRWTH","M","2000-03",4.407821,
"OECD","CPI","TOT","AGRWTH","M","2000-04",3.9188,
"OECD","CPI","TOT","AGRWTH","M","2000-05",3.972699,
"OECD","CPI","TOT","AGRWTH","M","2000-06",4.272343,
"OECD","CPI","TOT","AGRWTH","M","2000-07",4.283164,
"OECD","CPI","TOT","AGRWTH","M","2000-08",4.052773,
"OECD","CPI","TOT","AGRWTH","M","2000-09",4.054045,
"OECD","CPI","TOT","AGRWTH","M","2000-10",3.89985,
"OECD","CPI","TOT","AGRWTH","M","2000-11",3.912845,
"OECD","CPI","TOT","AGRWTH","M","2000-12",3.764224,
"OECD","CPI","TOT","AGRWTH","M","2001-01",3.780324,
"OECD","CPI","TOT","AGRWTH","M","2001-02",3.653519,
"OECD","CPI","TOT","AGRWTH","M","2001-03",3.436973,
"OECD","CPI","TOT","AGRWTH","M","2001-04",3.935264,
"OECD","CPI","TOT","AGRWTH","M","2001-05",4.273698,
"OECD","CPI","TOT","AGRWTH","M","2001-06",4.092971,
"OECD","CPI","TOT","AGRWTH","M","2001-07",3.692335,
"OECD","CPI","TOT","AGRWTH","M","2001-08",3.721988,
"OECD","CPI","TOT","AGRWTH","M","2001-09",3.65291,
"OECD","CPI","TOT","AGRWTH","M","2001-10",3.48241,
"OECD","CPI","TOT","AGRWTH","M","2001-11",3.238561,
"OECD","CPI","TOT","AGRWTH","M","2001-12",3.113456,
"OECD","CPI","TOT","AGRWTH","M","2002-01",3.119401,
"OECD","CPI","TOT","AGRWTH","M","2002-02",3.031665,
"OECD","CPI","TOT","AGRWTH","M","2002-03",3.116358,
"OECD","CPI","TOT","AGRWTH","M","2002-04",2.957295,
"OECD","CPI","TOT","AGRWTH","M","2002-05",2.561234,
"OECD","CPI","TOT","AGRWTH","M","2002-06",2.402737,
"OECD","CPI","TOT","AGRWTH","M","2002-07",2.570036,
"OECD","CPI","TOT","AGRWTH","M","2002-08",2.706313,
"OECD","CPI","TOT","AGRWTH","M","2002-09",2.529873,
"OECD","CPI","TOT","AGRWTH","M","2002-10",2.700046,
"OECD","CPI","TOT","AGRWTH","M","2002-11",2.836179,
"OECD","CPI","TOT","AGRWTH","M","2002-12",2.859876,
"OECD","CPI","TOT","AGRWTH","M","2003-01",2.838527,
"OECD","CPI","TOT","AGRWTH","M","2003-02",3.091551,
"OECD","CPI","TOT","AGRWTH","M","2003-03",3.142281,
"OECD","CPI","TOT","AGRWTH","M","2003-04",2.607248,
"OECD","CPI","TOT","AGRWTH","M","2003-05",2.40954,
"OECD","CPI","TOT","AGRWTH","M","2003-06",2.401926,
"OECD","CPI","TOT","AGRWTH","M","2003-07",2.36121,
"OECD","CPI","TOT","AGRWTH","M","2003-08",2.340636,
"OECD","CPI","TOT","AGRWTH","M","2003-09",2.37695,
"OECD","CPI","TOT","AGRWTH","M","2003-10",2.190141,
"OECD","CPI","TOT","AGRWTH","M","2003-11",2.012824,
"OECD","CPI","TOT","AGRWTH","M","2003-12",2.023577,
"OECD","CPI","TOT","AGRWTH","M","2004-01",1.945455,
"OECD","CPI","TOT","AGRWTH","M","2004-02",1.799899,
"OECD","CPI","TOT","AGRWTH","M","2004-03",1.768455,
"OECD","CPI","TOT","AGRWTH","M","2004-04",2.097479,
"OECD","CPI","TOT","AGRWTH","M","2004-05",2.564941,
"OECD","CPI","TOT","AGRWTH","M","2004-06",2.71819,
"OECD","CPI","TOT","AGRWTH","M","2004-07",2.621797,
"OECD","CPI","TOT","AGRWTH","M","2004-08",2.495957,
"OECD","CPI","TOT","AGRWTH","M","2004-09",2.383821,
"OECD","CPI","TOT","AGRWTH","M","2004-10",2.804104,
"OECD","CPI","TOT","AGRWTH","M","2004-11",2.950356,
"OECD","CPI","TOT","AGRWTH","M","2004-12",2.769282,
"OECD","CPI","TOT","AGRWTH","M","2005-01",2.517958,
"OECD","CPI","TOT","AGRWTH","M","2005-02",2.518854,
"OECD","CPI","TOT","AGRWTH","M","2005-03",2.607692,
"OECD","CPI","TOT","AGRWTH","M","2005-04",2.740266,
"OECD","CPI","TOT","AGRWTH","M","2005-05",2.386467,
"OECD","CPI","TOT","AGRWTH","M","2005-06",2.205901,
"OECD","CPI","TOT","AGRWTH","M","2005-07",2.55554,
