"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","HUR","TOT","PC_LF","M","2001-01",6.455023,"E"
"OECD","HUR","TOT","PC_LF","M","2001-02",6.472813,"E"
"OECD","HUR","TOT","PC_LF","M","2001-03",6.474783,"E"
"OECD","HUR","TOT","PC_LF","M","2001-04",6.498424,"E"
"OECD","HUR","TOT","PC_LF","M","2001-05",6.518929,"E"
"OECD","HUR","TOT","PC_LF","M","2001-06",6.57324,"E"
"OECD","HUR","TOT","PC_LF","M","2001-07",6.650976,"E"
"OECD","HUR","TOT","PC_LF","M","2001-08",6.749688,"E"
"OECD","HUR","TOT","PC_LF","M","2001-09",6.793191,"E"
"OECD","HUR","TOT","PC_LF","M","2001-10",6.969868,"E"
"OECD","HUR","TOT","PC_LF","M","2001-11",7.045755,"E"
"OECD","HUR","TOT","PC_LF","M","2001-12",7.123299,"E"
"OECD","HUR","TOT","PC_LF","M","2002-01",7.135009,"E"
"OECD","HUR","TOT","PC_LF","M","2002-02",7.142999,"E"
"OECD","HUR","TOT","PC_LF","M","2002-03",7.146855,"E"
"OECD","HUR","TOT","PC_LF","M","2002-04",7.2156,"E"
"OECD","HUR","TOT","PC_LF","M","2002-05",7.190681,"E"
"OECD","HUR","TOT","PC_LF","M","2002-06",7.21043,"E"
"OECD","HUR","TOT","PC_LF","M","2002-07",7.233874,"E"
"OECD","HUR","TOT","PC_LF","M","2002-08",7.255631,"E"
"OECD","HUR","TOT","PC_LF","M","2002-09",7.240997,"E"
"OECD","HUR","TOT","PC_LF","M","2002-10",7.256085,"E"
"OECD","HUR","TOT","PC_LF","M","2002-11",7.279589,"E"
"OECD","HUR","TOT","PC_LF","M","2002-12",7.31004,"E"
"OECD","HUR","TOT","PC_LF","M","2003-01",7.289482,"E"
"OECD","HUR","TOT","PC_LF","M","2003-02",7.281086,"E"
"OECD","HUR","TOT","PC_LF","M","2003-03",7.318694,"E"
"OECD","HUR","TOT","PC_LF","M","2003-04",7.358548,"E"
"OECD","HUR","TOT","PC_LF","M","2003-05",7.393299,"E"
"OECD","HUR","TOT","PC_LF","M","2003-06",7.452624,"E"
"OECD","HUR","TOT","PC_LF","M","2003-07",7.381235,"E"
"OECD","HUR","TOT","PC_LF","M","2003-08",7.341641,"E"
"OECD","HUR","TOT","PC_LF","M","2003-09",7.354662,"E"
"OECD","HUR","TOT","PC_LF","M","2003-10",7.291351,"E"
"OECD","HUR","TOT","PC_LF","M","2003-11",7.267704,"E"
"OECD","HUR","TOT","PC_LF","M","2003-12",7.215154,"E"
"OECD","HUR","TOT","PC_LF","M","2004-01",7.297591,"E"
"OECD","HUR","TOT","PC_LF","M","2004-02",7.276247,"E"
"OECD","HUR","TOT","PC_LF","M","2004-03",7.317554,"E"
"OECD","HUR","TOT","PC_LF","M","2004-04",7.218094,"E"
"OECD","HUR","TOT","PC_LF","M","2004-05",7.208419,"E"
"OECD","HUR","TOT","PC_LF","M","2004-06",7.199629,"E"
"OECD","HUR","TOT","PC_LF","M","2004-07",7.178385,"E"
"OECD","HUR","TOT","PC_LF","M","2004-08",7.149418,"E"
"OECD","HUR","TOT","PC_LF","M","2004-09",7.129496,"E"
"OECD","HUR","TOT","PC_LF","M","2004-10",7.117321,"E"
"OECD","HUR","TOT","PC_LF","M","2004-11",7.088618,"E"
"OECD","HUR","TOT","PC_LF","M","2004-12",7.054444,"E"
"OECD","HUR","TOT","PC_LF","M","2005-01",6.931146,"E"
"OECD","HUR","TOT","PC_LF","M","2005-02",6.95159,"E"
"OECD","HUR","TOT","PC_LF","M","2005-03",6.904264,"E"
"OECD","HUR","TOT","PC_LF","M","2005-04",6.924096,"E"
"OECD","HUR","TOT","PC_LF","M","2005-05",6.909577,"E"
"OECD","HUR","TOT","PC_LF","M","2005-06",6.863588,"E"
"OECD","HUR","TOT","PC_LF","M","2005-07",6.81536,"E"
"OECD","HUR","TOT","PC_LF","M","2005-08",6.735863,"E"
"OECD","HUR","TOT","PC_LF","M","2005-09",6.780963,"E"
"OECD","HUR","TOT","PC_LF","M","2005-10",6.786887,"E"
"OECD","HUR","TOT","PC_LF","M","2005-11",6.742779,"E"
"OECD","HUR","TOT","PC_LF","M","2005-12",6.651676,"E"
"OECD","HUR","TOT","PC_LF","M","2006-01",6.584693,"E"
"OECD","HUR","TOT","PC_LF","M","2006-02",6.548163,"E"
"OECD","HUR","TOT","PC_LF","M","2006-03",6.488079,"E"
"OECD","HUR","TOT","PC_LF","M","2006-04",6.434942,"E"
"OECD","HUR","TOT","PC_LF","M","2006-05",6.327357,"E"
"OECD","HUR","TOT","PC_LF","M","2006-06",6.340781,"E"
"OECD","HUR","TOT","PC_LF","M","2006-07",6.330492,"E"
"OECD","HUR","TOT","PC_LF","M","2006-08",6.302995,"E"
"OECD","HUR","TOT","PC_LF","M","2006-09",6.215845,"E"
"OECD","HUR","TOT","PC_LF","M","2006-10",6.131152,"E"
"OECD","HUR","TOT","PC_LF","M","2006-11",6.119175,"E"
"OECD","HUR","TOT","PC_LF","M","2006-12",6.056363,"E"
"OECD","HUR","TOT","PC_LF","M","2007-01",6.056071,"E"
"OECD","HUR","TOT","PC_LF","M","2007-02",6.001348,"E"
"OECD","HUR","TOT","PC_LF","M","2007-03",5.935627,"E"
"OECD","HUR","TOT","PC_LF","M","2007-04",5.84002,"E"
"OECD","HUR","TOT","PC_LF","M","2007-05",5.799085,"E"
"OECD","HUR","TOT","PC_LF","M","2007-06",5.782265,"E"
"OECD","HUR","TOT","PC_LF","M","2007-07",5.804837,"E"
"OECD","HUR","TOT","PC_LF","M","2007-08",5.805551,"E"
"OECD","HUR","TOT","PC_LF","M","2007-09",5.835426,"E"
"OECD","HUR","TOT","PC_LF","M","2007-10",5.849208,"E"
"OECD","HUR","TOT","PC_LF","M","2007-11",5.781573,"E"
"OECD","HUR","TOT","PC_LF","M","2007-12",5.825067,"E"
"OECD","HUR","TOT","PC_LF","M","2008-01",5.827261,"E"
"OECD","HUR","TOT","PC_LF","M","2008-02",5.80012,"E"
"OECD","HUR","TOT","PC_LF","M","2008-03",5.848146,"E"
"OECD","HUR","TOT","PC_LF","M","2008-04",5.819476,"E"
"OECD","HUR","TOT","PC_LF","M","2008-05",5.945877,"E"
"OECD","HUR","TOT","PC_LF","M","2008-06",6.055007,"E"
"OECD","HUR","TOT","PC_LF","M","2008-07",6.142813,"E"
"OECD","HUR","TOT","PC_LF","M","2008-08",6.255476,"E"
"OECD","HUR","TOT","PC_LF","M","2008-09",6.315743,"E"
"OECD","HUR","TOT","PC_LF","M","2008-10",6.456803,"E"
"OECD","HUR","TOT","PC_LF","M","2008-11",6.772651,"E"
"OECD","HUR","TOT","PC_LF","M","2008-12",7.053114,"E"
"OECD","HUR","TOT","PC_LF","M","2009-01",7.379115,"E"
"OECD","HUR","TOT","PC_LF","M","2009-02",7.715999,"E"
"OECD","HUR","TOT","PC_LF","M","2009-03",8.009352,"E"
"OECD","HUR","TOT","PC_LF","M","2009-04",8.204648,"E"
"OECD","HUR","TOT","PC_LF","M","2009-05",8.386792,"E"
"OECD","HUR","TOT","PC_LF","M","2009-06",8.449357,"E"
"OECD","HUR","TOT","PC_LF","M","2009-07",8.510852,"E"
"OECD","HUR","TOT","PC_LF","M","2009-08",8.573642,"E"
"OECD","HUR","TOT","PC_LF","M","2009-09",8.656858,"E"
"OECD","HUR","TOT","PC_LF","M","2009-10",8.680237,"E"
"OECD","HUR","TOT","PC_LF","M","2009-11",8.645226,"E"
"OECD","HUR","TOT","PC_LF","M","2009-12",8.607787,"E"
"OECD","HUR","TOT","PC_LF","M","2010-01",8.71279,"E"
"OECD","HUR","TOT","PC_LF","M","2010-02",8.671155,"E"
"OECD","HUR","TOT","PC_LF","M","2010-03",8.648905,"E"
"OECD","HUR","TOT","PC_LF","M","2010-04",8.69737,"E"
"OECD","HUR","TOT","PC_LF","M","2010-05",8.554416,"E"
"OECD","HUR","TOT","PC_LF","M","2010-06",8.457005,"E"
"OECD","HUR","TOT","PC_LF","M","2010-07",8.441623,"E"
"OECD","HUR","TOT","PC_LF","M","2010-08",8.401753,"E"
"OECD","HUR","TOT","PC_LF","M","2010-09",8.416561,"E"
"OECD","HUR","TOT","PC_LF","M","2010-10",8.437149,"E"
"OECD","HUR","TOT","PC_LF","M","2010-11",8.468567,"E"
"OECD","HUR","TOT","PC_LF","M","2010-12",8.344129,"E"
"OECD","HUR","TOT","PC_LF","M","2011-01",8.217103,"E"
"OECD","HUR","TOT","PC_LF","M","2011-02",8.17439,"E"
"OECD","HUR","TOT","PC_LF","M","2011-03",8.074829,"E"
"OECD","HUR","TOT","PC_LF","M","2011-04",8.094821,"E"
"OECD","HUR","TOT","PC_LF","M","2011-05",8.12169,"E"
"OECD","HUR","TOT","PC_LF","M","2011-06",8.156614,"E"
"OECD","HUR","TOT","PC_LF","M","2011-07",8.132392,"E"
"OECD","HUR","TOT","PC_LF","M","2011-08",8.108254,"E"
"OECD","HUR","TOT","PC_LF","M","2011-09",8.121382,"E"
